Court Name,District,County,City
First District Court – Brigham City,First District,Cache,Brigham City
First District Court – Brigham City,First District,Box Elder,Brigham City
First District Court - Logan,First District,Cache,Logan
First District Court - Logan,First District,Box Elder,Logan
First District Court - Randolph,First District,Cache,Randolph
First District Court - Randolph,First District,Box Elder,Randolph
Second District Court – Farmington,Second District,Davis,Farmington
Second District Court – Farmington,Second District,Weber,Farmington
Second District Court – Farmington,Second District,Morgan,Farmington
Second District Court – Morgan,Second District,Davis,Morgan
Second District Court – Morgan,Second District,Weber,Morgan
Second District Court – Morgan,Second District,Morgan,Morgan
Second District Court – Ogden,Second District,Davis,Ogden
Second District Court – Ogden,Second District,Weber,Ogden
Second District Court – Ogden,Second District,Morgan,Ogden
Third District Court – Park City,Third District,Summit,Park City
Third District Court – Salt Lake City,Third District,Salt Lake,Salt Lake City
Third District Court – West Jordan,Third District,Salt Lake,West Jordan
Third District Court – Tooele,Third District,Tooele,Tooele
Fourth District Court – Provo,Fourth District,Utah,Provo
Fourth District Court – American Fork,Fourth District,Utah,American Fork
Fourth District Court – Heber,Fourth District,Wasatch,Heber
Fourth District Court – Nephi,Fourth District,Juab,Nephi
Fourth District Court – Fillmore,Fourth District,Millard,Fillmore
Fifth District Court – Beaver,Fifth District,Beaver,Beaver
Fifth District Court – Cedar City,Fifth District,Iron,Cedar City
Fifth District Court – St. George,Fifth District,Washington,St. George
Sixth District Court – Junction,Sixth District,Piute,Junction
Sixth District Court – Kanab,Sixth District,Kane,Kanab
Sixth District Court – Loa,Sixth District,Wayne,Loa
Sixth District Court – Manti,Sixth District,Sanpete,Manti
Sixth District Court – Panguitch,Sixth District,Garfield,Panguitch
Sixth District Court – Richfield,Sixth District,Sevier,Richfield
Seventh District Court – Castle Dale,Seventh District,Emery,Castle Dale
Seventh District Court – Moab,Seventh District,Grand,Moab
Seventh District Court – Monticello,Seventh District,San Juan,Monticello
Seventh District Court – Price,Seventh District,Carbon,Price
Eighth District Court – Duchesne,Eighth District,Duchesne,Duchesne
Eighth District Court – Manila,Eighth District,Daggett,Manila
Eighth District Court – Roosevelt,Eighth District,Duchesne,Roosevelt
Eighth District Court – Vernal,Eighth District,Uintah,Vernal
