Courthouse City,County,District Number
Brigham City,Box Elder,First
Logan,Cache,First
Randolph,Rich,First
Farmington,Davis,Second
Morgan,Morgan,Second
Ogden,Weber,Second
Park City,Summit,Third
Salt Lake City,Salt Lake,Third
West Jordan,Salt Lake,Third
Tooele,Tooele,Third
Provo,Utah,Fourth
American Fork,Utah,Fourth
Heber,Wasatch,Fourth
Nephi,Juab,Fourth
Fillmore,Millard,Fourth
Beaver,Beaver,Fifth
Cedar City,Iron,Fifth
St. George,Washington,Fifth
Junction,Piute,Sixth
Kanab,Kane,Sixth
Loa,Wayne,Sixth
Manti,Sanpete,Sixth
Panguitch,Garfield,Sixth
Richfield,Sevier,Sixth
Castle Dale,Emery,Seventh
Moab,Grand,Seventh
Monticello,San Juan,Seventh
Price,Carbon,Seventh
Duchesne,Duchesne,Eighth
Manila,Daggett,Eighth
Roosevelt,Duchesne,Eighth
Vernal,Uintah,Eighth
